unique
------
                              unsorted   sorted   hashing  worst case
GreenEggsAndHam.txt             0.009     0.008    0.008     0.015
Macbeth.txt                     0.108     0.072    0.011     0.020
Genesis.txt                     0.112     0.115    0.013     0.023
HoundOfTheBaskervilles.txt      0.346     0.213    0.023     0.027
TheWarOfTheWorlds.txt           0.435     0.219    0.018     0.028
TreasureIsland.txt              0.412     0.233    0.019     0.030
TheSecretGarden.txt             0.387     0.260    0.020     0.031
TwentyThousandLeagues.txt       0.941     0.371    0.028     0.035
TheCountOfMonteCristo.txt       5.002     1.601    0.089     0.112
Bible.txt                       5.320     2.544    0.118     0.150


parity
------
                              unsorted  sorted  hashing   worst case
GreenEggsAndHam.txt             0.018    0.007    0.008      0.014 
Macbeth.txt                     0.332    0.104    0.012      0.022 
Genesis.txt                     0.425    0.135    0.021      0.025 
HoundOfTheBaskervilles.txt      1.509    0.402    0.025      0.031 
TheWarOfTheWorlds.txt           1.927    0.461    0.025      0.029 
TreasureIsland.txt              1.954    0.468    0.027      0.035 
TheSecretGarden.txt             1.830    0.491    0.030      0.037 
TwentyThousandLeagues.txt       4.781    0.934    0.039      0.046 
TheCountOfMonteCristo.txt       38.836   7.132    0.183      0.194
Bible.txt                       42.940   7.639    0.253      0.261
